date,open,high,low,close,volume
2025-01-02 05:00:00,589.39,591.13,580.5,584.64,50203975.0
2025-01-03 05:00:00,587.53,592.6,586.43,591.95,37888459.0
2025-01-06 05:00:00,596.27,599.7,593.6,595.36,47679442.0
2025-01-07 05:00:00,597.42,597.75,586.78,588.63,60393052.0
2025-01-08 05:00:00,588.7,590.5799,585.195,589.49,47304672.0
2025-01-10 05:00:00,585.88,585.95,578.55,580.49,73105046.0
2025-01-13 05:00:00,575.77,581.75,575.35,581.39,47910060.0
2025-01-14 05:00:00,584.36,585.0,578.35,582.19,48420580.0
2025-01-15 05:00:00,590.325,593.94,589.195,592.78,56900159.0
2025-01-16 05:00:00,594.175,594.35,590.93,591.64,43319662.0
2025-01-17 05:00:00,596.96,599.36,595.61,597.58,58070628.0
2025-01-21 05:00:00,600.67,603.06,598.67,603.05,42532853.0
2025-01-22 05:00:00,605.92,607.82,605.36,606.44,48195973.0
2025-01-23 05:00:00,605.8,609.75,605.52,609.75,41152102.0
2025-01-24 05:00:00,609.81,610.78,606.8,607.97,34604693.0
2025-01-27 05:00:00,594.81,599.69,594.64,599.37,70361125.0
2025-01-28 05:00:00,600.62,605.37,597.25,604.52,44433322.0
2025-01-29 05:00:00,603.72,604.13,599.22,601.81,37177429.0
2025-01-30 05:00:00,603.96,606.6,600.715,605.04,39281255.0
2025-01-31 05:00:00,607.5,609.96,601.05,601.82,66671471.0
2025-02-03 05:00:00,592.67,600.29,590.49,597.77,65857248.0
2025-02-04 05:00:00,597.83,602.3,597.28,601.78,33457815.0
2025-02-05 05:00:00,600.64,604.37,598.58,604.22,30653149.0
2025-02-06 05:00:00,605.99,606.4525,602.63,606.32,35771503.0
2025-02-07 05:00:00,606.89,608.13,600.05,600.77,50788516.0
2025-02-10 05:00:00,604.03,605.4999,602.74,604.85,26048714.0
2025-02-11 05:00:00,602.55,605.86,602.43,605.31,30056740.0
2025-02-12 05:00:00,599.2,604.55,598.51,603.36,45076076.0
2025-02-13 05:00:00,604.48,609.94,603.2,609.73,40921297.0
2025-02-14 05:00:00,609.94,610.99,609.07,609.7,26910448.0
2025-02-18 05:00:00,610.88,611.49,608.38,611.49,26749030.0
2025-02-19 05:00:00,610.08,613.23,609.56,612.93,31011072.0
2025-02-20 05:00:00,611.54,611.684,607.02,610.38,36554002.0
2025-02-21 05:00:00,610.16,610.3,599.47,599.94,76519818.0
2025-02-24 05:00:00,602.02,603.03,596.49,597.21,50737213.0
2025-02-25 05:00:00,597.15,597.89,589.56,594.24,58266472.0
2025-02-26 05:00:00,595.93,599.58,591.8556,594.54,43321578.0
2025-02-27 05:00:00,596.85,598.02,584.65,585.05,74196664.0
2025-02-28 05:00:00,585.56,594.72,582.44,594.18,88744106.0
2025-03-03 05:00:00,596.18,597.34,579.9,583.77,74249199.0
2025-03-04 05:00:00,579.71,585.39,572.25,576.86,109648212.0
