date,open,high,low,close,volume
2025-01-02 05:00:00,514.3,516.64,505.71,510.23,36389783.0
2025-01-03 05:00:00,513.35,519.6454,512.53,518.58,29059520.0
2025-01-06 05:00:00,524.02,527.92,522.03,524.54,36109734.0
2025-01-07 05:00:00,525.59,525.99,513.28,515.18,36690272.0
2025-01-08 05:00:00,515.08,516.9199,510.57,515.27,30777777.0
2025-01-10 05:00:00,511.48,511.58,503.92,507.19,40532495.0
2025-01-13 05:00:00,501.2,506.02,499.7,505.56,31694210.0
2025-01-14 05:00:00,508.74,510.155,501.59,505.08,33737237.0
2025-01-15 05:00:00,513.03,517.85,511.46,516.7,34957554.0
2025-01-16 05:00:00,518.98,519.0599,512.95,513.08,28229037.0
2025-01-17 05:00:00,522.85,524.0733,513.1086,521.74,51837941.0
2025-01-21 05:00:00,524.48,525.97,520.06,524.8,23627971.0
2025-01-22 05:00:00,529.57,533.82,529.26,531.51,33592988.0
2025-01-23 05:00:00,529.04,532.76,528.45,532.64,23096588.0
2025-01-24 05:00:00,533.02,533.79,528.15,529.63,19878251.0
2025-01-27 05:00:00,511.0,517.99,510.15,514.21,60771695.0
2025-01-28 05:00:00,515.22,523.0,511.78,521.81,33194214.0
2025-01-29 05:00:00,522.46,522.59,516.8988,520.83,26649011.0
2025-01-30 05:00:00,523.71,526.095,518.21,523.05,27431302.0
2025-01-31 05:00:00,526.92,531.5178,521.19,522.29,38845467.0
2025-02-03 05:00:00,513.47,520.8496,511.05,518.11,40580835.0
2025-02-04 05:00:00,518.63,525.11,518.23,524.47,26046753.0
2025-02-05 05:00:00,521.82,527.01,520.62,526.85,21134070.0
2025-02-06 05:00:00,527.36,529.81,525.7413,529.6,19434454.0
2025-02-07 05:00:00,530.14,532.1,522.19,522.92,29605470.0
2025-02-10 05:00:00,527.22,530.3571,526.75,529.25,20852784.0
2025-02-11 05:00:00,525.96,529.92,525.83,527.99,19325500.0
2025-02-12 05:00:00,522.3,529.19,521.95,528.3,25009362.0
2025-02-13 05:00:00,529.98,536.22,529.19,535.9,28714799.0
2025-02-14 05:00:00,536.005,538.84,535.67,538.15,17862572.0
2025-02-18 05:00:00,539.73,540.0,536.04,539.37,20565028.0
2025-02-19 05:00:00,538.57,540.81,536.46,539.52,19666861.0
2025-02-20 05:00:00,538.73,539.1,532.46,537.23,26550753.0
2025-02-21 05:00:00,538.38,538.4,525.71,526.08,47093750.0
2025-02-24 05:00:00,527.88,529.069,519.53,519.87,39268392.0
2025-02-25 05:00:00,519.24,519.32,509.44,513.32,48940025.0
2025-02-26 05:00:00,515.53,519.66,511.37,514.56,34457618.0
2025-02-27 05:00:00,518.13,519.0699,500.05,500.27,52447966.0
2025-02-28 05:00:00,500.13,508.78,496.93,508.17,47654043.0
2025-03-03 05:00:00,511.52,513.04,493.58,497.05,44587204.0
2025-03-04 05:00:00,494.18,503.74,487.735,495.55,67875402.0
2025-03-05 05:00:00,496.2,503.63,491.26,502.01,46323725.0
2025-03-06 05:00:00,493.69,498.58,486.2,488.2,57574332.0
2025-03-07 05:00:00,487.16,493.28,480.53,491.79,54714726.0
2025-03-10 04:00:00,483.45,483.97,468.66,472.73,76668029.0
2025-03-11 04:00:00,472.35,478.805,467.01,471.6,68760771.0
2025-03-12 04:00:00,479.16,481.06,471.79,476.92,46971082.0
2025-03-13 04:00:00,476.25,476.2801,466.43,468.34,46563349.0
2025-03-14 04:00:00,473.73,480.56,473.12,479.66,43563010.0
2025-03-17 04:00:00,479.61,485.84,477.8,482.77,41744354.0
